date,nav,scheme_code,fund_name
2020-09-14,64.2841,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-09-15,65.1282,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-09-16,66.0678,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-09-17,65.84,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-09-18,66.3189,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-09-21,64.3706,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-09-22,63.7533,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-09-23,64.4889,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-09-24,63.2843,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-09-25,64.4883,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-09-28,65.6529,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-09-29,65.6623,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-09-30,65.6953,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-10-01,65.7441,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-10-05,66.4188,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-10-06,66.9087,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-10-07,66.6421,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-10-08,66.806,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-10-09,66.21,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-10-12,65.9921,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-10-13,65.8073,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-10-14,65.7957,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-10-15,64.5317,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-10-16,65.1479,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-10-19,65.1275,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-10-20,65.2917,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-10-21,65.1698,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-10-22,65.4607,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-10-23,65.8442,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-10-26,65.0052,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-10-27,65.2039,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-10-28,65.1878,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-10-29,65.4769,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-10-30,65.9,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-11-02,66.0187,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-11-03,66.3515,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-11-04,66.9865,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-11-05,68.4809,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-11-06,68.6093,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-11-09,68.7861,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-11-10,68.1961,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-11-11,68.1997,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-11-12,68.6813,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-11-13,68.9702,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-11-17,69.9825,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-11-18,70.3177,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-11-19,70.0525,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-11-20,70.1959,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-11-23,71.0088,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-11-24,71.9309,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-11-25,71.1447,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-11-26,71.7821,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-11-27,72.6231,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-12-01,74.4241,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-12-02,75.2548,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-12-03,75.7648,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-12-04,76.5668,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-12-07,77.8069,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-12-08,77.2836,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-12-09,77.5729,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-12-10,77.427,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-12-11,77.5891,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-12-14,78.0139,120841,HDFC Index Fund - Nifty 50 Plan - Growth
