date,nav,scheme_code,fund_name
2026-07-15,235.2438,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-07-16,235.1864,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-07-17,237.7681,119063,HDFC Nifty 50 Index Fund - Direct Plan
2019-07-22,20.2991,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-07-23,20.2955,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-07-24,20.3026,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-07-25,20.2773,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-07-26,20.2848,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-07-29,20.3199,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-07-30,20.336,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-07-31,20.3513,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-08-01,20.3573,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-08-02,20.3854,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-08-05,20.3765,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-08-06,20.3916,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-08-07,20.4084,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-08-08,20.4268,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-08-09,20.4144,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-08-13,20.4188,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-08-14,20.3918,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-08-16,20.414,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-08-19,20.4253,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-08-20,20.4381,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-08-21,20.4569,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-08-22,20.4708,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-08-23,20.4823,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-08-26,20.5035,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-08-27,20.5175,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-08-28,20.5165,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-08-29,20.5082,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-08-30,20.5133,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-09-03,20.543,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-09-04,20.5559,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-09-05,20.5555,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-09-06,20.5553,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-09-09,20.5803,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-09-11,20.5816,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-09-12,20.5787,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-09-13,20.5922,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-09-16,20.5908,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-09-17,20.5819,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-09-18,20.6044,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-09-19,20.613,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-09-20,20.5602,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-09-23,20.5771,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-09-24,20.5707,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-09-25,20.5727,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-09-26,20.5799,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-09-27,20.5813,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-09-30,20.6039,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-10-01,20.6264,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-10-03,20.6542,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-10-04,20.652,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-10-07,20.66,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-10-09,20.6694,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-10-10,20.6736,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-10-11,20.6775,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-10-14,20.6922,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-10-15,20.6993,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-10-16,20.7174,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-10-17,20.7254,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-10-18,20.7366,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-10-22,20.7561,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-10-23,20.7704,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-10-24,20.7782,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-10-25,20.7849,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-10-29,20.8059,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-10-30,20.8244,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-10-31,20.8495,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-11-01,20.8627,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-11-04,20.87,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-11-05,20.8673,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-11-06,20.8715,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-11-07,20.8738,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-11-08,20.8674,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-11-11,20.8735,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-11-13,20.8903,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-11-14,20.9015,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-11-15,20.9173,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-11-18,20.9364,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-11-19,20.9424,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-11-20,20.9488,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-11-21,20.9483,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-11-22,20.9564,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-11-25,20.9743,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-11-26,20.9804,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-11-27,20.987,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-11-28,20.9987,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-11-29,21.0039,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-12-02,21.0157,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-12-03,21.0225,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-12-04,21.0342,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-12-05,20.9923,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-12-06,20.9771,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-12-09,20.9809,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-12-10,20.9778,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-12-11,20.9623,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-12-12,20.9622,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-12-13,20.9574,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-12-16,20.9714,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-12-17,20.9859,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-12-18,21.0017,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-12-19,21.0043,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-12-20,21.052,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-12-23,21.0631,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-12-24,21.0614,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-12-26,21.0657,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-12-27,21.0767,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-12-30,21.0834,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2019-12-31,21.0889,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-01-01,21.1056,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-01-02,21.114,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-01-03,21.1282,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-01-06,21.1239,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-01-07,21.1315,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-01-08,21.1392,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-01-09,21.1569,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-01-10,21.1456,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-01-13,21.1553,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-01-14,21.1404,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-01-15,21.1548,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-01-16,21.1675,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-01-17,21.1753,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-01-20,21.1869,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-01-21,21.1949,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-01-22,21.2059,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-01-23,21.2157,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-01-24,21.228,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-01-27,21.2433,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-01-28,21.2443,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-01-29,21.2442,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-01-30,21.2474,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-01-31,21.248,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-02-03,21.286,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-02-04,21.295,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-02-05,21.3006,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-02-06,21.3592,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-02-07,21.3843,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-02-10,21.3995,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-02-11,21.4075,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-02-12,21.4071,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-02-13,21.4254,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-02-14,21.4412,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-02-17,21.4537,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-02-18,21.4499,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-02-20,21.4474,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-02-24,21.4655,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-02-25,21.4622,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-02-26,21.4724,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-02-27,21.4641,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-02-28,21.4462,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-03-02,21.4559,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-03-03,21.4603,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-03-04,21.4957,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-03-05,21.502,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-03-06,21.5076,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-03-09,21.5146,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-03-11,21.4887,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-03-12,21.4107,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-03-13,21.3434,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-03-16,21.3554,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-03-17,21.3,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-03-18,21.2363,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-03-19,21.0932,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-03-20,21.175,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-03-23,21.0827,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-03-24,21.0856,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-03-26,21.1006,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-03-27,21.4858,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-03-30,21.4672,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-03-31,21.5101,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-04-03,21.4901,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-04-07,21.4252,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-04-08,21.3685,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-04-09,21.3749,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-04-13,21.3988,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-04-15,21.4296,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-04-16,21.4668,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-04-17,21.5529,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-04-20,21.6387,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-04-21,21.6627,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-04-22,21.6718,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-04-23,21.7441,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-04-24,21.6406,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-04-27,21.6459,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-04-28,21.6166,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-04-29,21.6249,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-04-30,21.6485,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-05-04,21.6959,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-05-05,21.7462,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-05-06,21.7842,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-05-08,21.8299,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-05-11,21.786,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-05-12,21.8095,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-05-13,21.8362,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
2020-05-14,21.8605,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
